Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Last_Activity_Date,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level,Cluster,KMeans_Raw_Cluster,Customer_Tag
44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,972,1.707,1348,27,1.7,0.23,2023-01-11,169,27,1348,1,1,1,111,3,Lost,1,2,Low Value
48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,2362,1.708,1671,27,0.929,0.078,2023-02-03,146,27,1671,2,1,1,211,4,Lost,1,2,Low Value
41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,0.653,1028,21,1.625,0.095,2023-04-18,72,21,1028,4,1,1,411,6,Potential,1,2,Low Value
61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517,1.831,1336,30,1.143,0.788,2023-02-13,136,30,1336,2,1,1,211,4,Lost,1,2,Low Value
45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,1157,0.966,1207,21,0.909,0.08,2023-01-24,156,21,1207,1,1,1,111,3,Lost,1,2,Low Value
47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,0.906,1178,27,0.929,0.086,2023-02-17,132,27,1178,2,1,1,211,4,Lost,1,2,Low Value
41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,1.608,931,18,1.571,0.152,2023-02-22,127,18,931,3,1,1,311,5,Lost,1,2,Low Value
47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,0.573,1126,23,0.353,0.626,2023-03-26,95,23,1126,4,1,1,411,6,Potential,1,2,Low Value
54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,1.075,1110,21,0.75,0.0,2023-02-12,137,21,1110,2,1,1,211,4,Lost,1,2,Low Value
41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,0.797,1051,22,0.833,0.215,2023-01-07,173,22,1051,1,1,1,111,3,Lost,1,2,Low Value
59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,1374,0.921,1197,23,1.3,0.093,2023-01-08,172,23,1197,1,1,1,111,3,Lost,1,2,Low Value
63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010,0.843,1904,40,1.0,0.099,2023-03-08,113,40,1904,3,1,1,311,5,Lost,1,2,Low Value
44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,0,0.525,1052,18,1.571,0.0,2023-02-18,131,18,1052,2,1,1,211,4,Lost,1,2,Low Value
47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,0.739,1045,38,0.9,0.285,2023-01-13,167,38,1045,1,1,1,111,3,Lost,1,2,Low Value
53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,0.977,1038,25,2.571,0.658,2023-02-06,143,25,1038,2,1,1,211,4,Lost,1,2,Low Value
53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,1.323,1596,26,1.6,0.69,2023-05-05,55,26,1596,4,1,1,411,6,Potential,1,2,Low Value
41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517,1.726,1589,24,1.667,0.282,2023-01-25,155,24,1589,1,1,1,111,3,Lost,1,2,Low Value
53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1.75,1411,28,1.0,0.562,2023-02-12,137,28,1411,2,1,1,211,4,Lost,1,2,Low Value
58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,0.519,1291,24,0.714,0.135,2023-02-07,142,24,1291,2,1,1,211,4,Lost,1,2,Low Value
55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,0.51,1407,43,0.483,0.544,2023-02-21,128,43,1407,2,1,1,211,4,Lost,1,2,Low Value
55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,2298,1.724,1877,37,1.176,0.757,2023-02-06,143,37,1877,2,1,1,211,4,Lost,1,2,Low Value
42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,0,0.865,966,22,1.2,0.0,2023-03-02,119,22,966,3,1,1,311,5,Lost,1,2,Low Value
57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672.0,886,1.32,1464,28,0.556,0.241,2023-03-04,117,28,1464,3,1,1,311,5,Lost,1,2,Low Value
45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426.0,578,1.042,1109,28,0.474,0.018,2023-02-20,129,28,1109,2,1,1,211,4,Lost,1,2,Low Value
51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205.0,2204,0.803,1347,28,0.556,0.355,2023-01-25,155,28,1347,1,1,1,111,3,Lost,1,2,Low Value
50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517,1.449,1756,33,1.2,0.145,2023-02-24,125,33,1756,3,1,1,311,5,Lost,1,2,Low Value
49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0,1.214,1756,32,1.0,0.0,2023-02-09,140,32,1756,2,1,1,211,4,Lost,1,2,Low Value
38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830.0,2055,0.977,1042,23,0.917,0.209,2023-03-13,108,23,1042,3,1,1,311,5,Lost,1,2,Low Value
49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516.0,0,1.621,1444,28,1.333,0.0,2023-02-02,147,28,1444,2,1,1,211,4,Lost,1,2,Low Value
56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430,2.316,1741,27,0.588,0.626,2023-02-20,129,27,1741,2,1,1,211,4,Lost,1,2,Low Value
59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,2020,2.357,1719,27,1.7,0.793,2023-02-26,123,27,1719,3,1,1,311,5,Lost,1,2,Low Value
46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435,0.787,1217,27,0.8,0.074,2023-03-05,116,27,1217,3,1,1,311,5,Lost,1,2,Low Value
52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,1227,0.624,1140,40,0.6,0.259,2023-01-02,178,40,1140,1,1,1,111,3,Lost,1,2,Low Value
52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622.0,1549,1.321,1878,30,1.143,0.591,2023-03-01,120,30,1878,3,1,1,311,5,Lost,1,2,Low Value
66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,2179,1.224,1946,38,1.923,0.687,2023-04-10,80,38,1946,4,1,1,411,6,Potential,1,2,Low Value
49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763.0,2517,0.664,1414,35,0.25,0.127,2023-02-15,134,35,1414,2,1,1,211,4,Lost,1,2,Low Value
49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,2200,0.678,1052,32,0.6,0.667,2023-04-07,83,32,1052,4,1,1,411,6,Potential,1,2,Low Value
49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0,2363,0.75,1295,40,0.6,0.843,2023-02-03,146,40,1295,2,1,1,211,4,Lost,1,2,Low Value
56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,1880,1.107,1424,29,1.417,0.422,2023-02-03,146,29,1424,2,1,1,211,4,Lost,1,2,Low Value
44,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273.0,978,2.275,1359,25,1.083,0.156,2023-01-15,165,25,1359,1,1,1,111,3,Lost,1,2,Low Value
42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,1753,0.69,1168,27,1.25,0.525,2023-04-04,86,27,1168,4,1,1,411,6,Potential,1,2,Low Value
55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436.0,2016,0.901,1097,33,0.833,0.587,2023-02-25,124,33,1097,3,1,1,311,5,Lost,1,2,Low Value
39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,1251,0.944,1316,28,1.154,0.211,2023-03-22,99,28,1316,4,1,1,411,6,Potential,1,2,Low Value
44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957.0,2102,0.997,1276,26,0.733,0.088,2023-04-21,69,26,1276,4,1,1,411,6,Potential,1,2,Low Value
53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734.0,1634,0.989,1289,23,0.917,0.111,2023-02-06,143,23,1289,2,1,1,211,4,Lost,1,2,Low Value
51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0,1515,0.592,1293,32,0.6,0.044,2023-01-19,161,32,1293,1,1,1,111,3,Lost,1,2,Low Value
57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,1817,0.62,1353,35,0.667,0.276,2023-03-18,103,35,1353,4,1,1,411,6,Potential,1,2,Low Value
44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,1468,1.004,1132,28,0.556,0.704,2023-03-26,95,28,1132,4,1,1,411,6,Potential,1,2,Low Value
49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0,1107,1.715,1670,17,2.4,0.656,2023-02-15,134,17,1670,2,1,1,211,4,Lost,1,2,Low Value
50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300.0,1330,1.072,837,15,2.0,0.053,2023-02-06,143,15,837,2,1,1,211,4,Lost,1,2,Low Value
51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516.0,1763,1.266,1550,41,1.05,0.051,2023-02-21,128,41,1550,2,1,1,211,4,Lost,1,2,Low Value
55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0,1034,0.758,1540,36,0.286,0.467,2023-03-07,114,36,1540,3,1,1,311,5,Lost,1,2,Low Value
54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910.0,2030,0.769,1256,21,0.4,0.698,2023-02-26,123,21,1256,3,1,1,311,5,Lost,1,2,Low Value
42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913.0,1528,0.414,1394,35,0.522,0.067,2023-02-01,148,35,1394,2,1,1,211,4,Lost,1,2,Low Value
44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312.0,1932,1.312,1341,24,1.182,0.079,2023-03-13,108,24,1341,3,1,1,311,5,Lost,1,2,Low Value
53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272.0,1515,0.857,1289,33,0.435,0.287,2023-03-14,107,33,1289,4,1,1,411,6,Potential,1,2,Low Value
44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0,2517,0.475,1112,23,1.875,0.36,2023-04-11,79,23,1112,4,1,1,411,6,Potential,1,2,Low Value
37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0,1801,0.751,2339,57,0.966,0.256,2023-04-03,87,57,2339,4,2,1,421,7,Potential,0,2,Loyal Customers
49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536.0,1823,0.703,1468,23,0.353,0.719,2023-01-25,155,23,1468,1,1,1,111,3,Lost,1,2,Low Value
47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904.0,1899,0.85,1334,35,0.4,0.066,2023-03-11,110,35,1334,3,1,1,311,5,Lost,1,2,Low Value
47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0,1695,1.242,1457,41,1.412,0.198,2023-04-16,74,41,1457,4,1,1,411,6,Potential,1,2,Low Value
44,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516.0,1533,0.924,1603,29,0.526,0.044,2023-02-12,137,29,1603,2,1,1,211,4,Lost,1,2,Low Value
59,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,10133.0,1417,0.383,1068,20,0.818,0.14,2023-03-06,115,20,1068,3,1,1,311,5,Lost,1,2,Low Value
53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516.0,1219,1.129,1590,27,2.0,0.035,2023-04-27,63,27,1590,4,1,1,411,6,Potential,1,2,Low Value
52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085.0,1910,0.921,1531,35,0.667,0.619,2023-03-07,114,35,1531,3,1,1,311,5,Lost,1,2,Low Value
53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040.0,2056,0.607,1212,31,0.722,0.108,2023-02-22,127,31,1212,3,1,1,311,5,Lost,1,2,Low Value
43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026.0,0,0.483,1237,32,0.6,0.0,2023-02-12,137,32,1237,2,1,1,211,4,Lost,1,2,Low Value
44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756.0,837,1.932,1413,14,1.8,0.066,2023-03-23,98,14,1413,4,1,1,411,6,Potential,1,2,Low Value
57,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266.0,0,1.702,1516,29,1.636,0.0,2023-03-21,100,29,1516,4,1,1,411,6,Potential,1,2,Low Value
51,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930.0,0,0.731,1276,21,1.333,0.0,2023-02-21,128,21,1276,2,1,1,211,4,Lost,1,2,Low Value
49,M,4,High School,Single,$80K - $120K,Blue,38,4,3,0,31302.0,1953,0.875,1564,35,2.182,0.062,2023-03-03,118,35,1564,3,1,1,311,5,Lost,1,2,Low Value
45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576.0,0,0.579,1465,34,0.619,0.0,2023-04-19,71,34,1465,4,1,1,411,6,Potential,1,2,Low Value
53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664.0,2037,0.85,1286,29,0.933,0.765,2023-04-16,74,29,1286,4,1,1,411,6,Potential,1,2,Low Value
45,F,3,Unknown,Married,Unknown,Blue,28,5,1,2,2535.0,2440,1.705,1312,20,1.222,0.963,2023-01-09,171,20,1312,1,1,1,111,3,Lost,1,2,Low Value
64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709.0,895,1.656,1673,32,0.882,0.524,2023-04-18,72,32,1673,4,1,1,411,6,Potential,1,2,Low Value
45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454.0,1200,0.597,1313,30,0.304,0.347,2023-04-22,68,30,1313,4,1,1,411,6,Potential,1,2,Low Value
53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789.0,1706,1.047,1609,42,0.68,0.45,2023-03-01,120,42,1609,3,1,1,311,5,Lost,1,2,Low Value
56,M,3,College,Married,$120K +,Blue,50,3,2,0,9689.0,2250,0.576,1158,19,0.727,0.232,2023-02-08,141,19,1158,2,1,1,211,4,Lost,1,2,Low Value
49,F,3,College,Single,Unknown,Blue,43,4,4,0,23032.0,1960,0.619,1289,22,1.0,0.085,2023-04-14,76,22,1289,4,1,1,411,6,Potential,1,2,Low Value
41,F,3,Unknown,Married,Unknown,Silver,34,5,3,3,34516.0,2053,1.034,1487,26,0.733,0.059,2023-03-28,93,26,1487,4,1,1,411,6,Potential,1,2,Low Value
53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940.0,1264,0.562,1259,33,0.5,0.43,2023-02-27,122,33,1259,3,1,1,311,5,Lost,1,2,Low Value
44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,1879,0.788,1298,15,1.5,0.62,2023-03-24,97,15,1298,4,1,1,411,6,Potential,1,2,Low Value
44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,3,0,1862.0,0,0.883,1226,34,0.789,0.0,2023-03-20,101,34,1226,4,1,1,411,6,Potential,1,2,Low Value
43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358.0,926,0.762,1566,37,0.542,0.111,2023-03-27,94,37,1566,4,1,1,411,6,Potential,1,2,Low Value
53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,2,34516.0,931,0.828,1022,21,1.1,0.027,2023-01-08,172,21,1022,1,1,1,111,3,Lost,1,2,Low Value
44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450.0,2440,1.283,1235,30,0.667,0.169,2023-02-06,143,30,1235,2,1,1,211,4,Lost,1,2,Low Value
62,F,1,Unknown,Married,Less than $40K,Blue,56,6,0,0,1438.3,0,0.813,1951,44,1.095,0.0,2023-01-20,160,44,1951,1,1,1,111,3,Lost,1,2,Low Value
54,M,4,Unknown,Divorced,$120K +,Blue,36,6,3,2,33791.0,1960,0.618,1047,31,0.824,0.058,2023-03-05,116,31,1047,3,1,1,311,5,Lost,1,2,Low Value
57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466.0,1886,0.56,1342,32,0.391,0.223,2023-03-21,100,32,1342,4,1,1,411,6,Potential,1,2,Low Value
42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088.0,865,0.939,1107,21,1.625,0.057,2023-03-19,102,21,1107,4,1,1,411,6,Potential,1,2,Low Value
42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263.0,1674,0.588,1251,35,0.346,0.513,2023-01-19,161,35,1251,1,1,1,111,3,Lost,1,2,Low Value
54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494.0,706,1.674,1305,24,3.0,0.473,2023-02-24,125,24,1305,3,1,1,311,5,Lost,1,2,Low Value
48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551.0,1294,0.791,1388,37,1.056,0.095,2023-01-03,177,37,1388,1,1,1,111,3,Lost,1,2,Low Value
49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886.0,895,1.826,1235,18,1.571,0.047,2023-02-28,121,18,1235,3,1,1,311,5,Lost,1,2,Low Value
52,M,3,High School,Unknown,$80K - $120K,Blue,48,3,2,0,11976.0,1273,1.024,2089,36,1.118,0.106,2023-02-21,128,36,2089,2,1,1,211,4,Lost,1,2,Low Value
50,M,3,High School,Single,$80K - $120K,Blue,39,4,1,4,9964.0,1559,1.873,1626,25,0.786,0.156,2023-01-23,157,25,1626,1,1,1,111,3,Lost,1,2,Low Value
49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,24159.0,1196,0.712,1111,24,1.0,0.05,2023-06-12,17,24,1111,4,1,1,411,6,Potential,1,2,Low Value
53,F,2,High School,Married,Less than $40K,Blue,44,3,2,3,5362.0,1901,0.816,1553,38,1.0,0.355,2023-02-04,145,38,1553,2,1,1,211,4,Lost,1,2,Low Value
50,M,2,Graduate,Single,$120K +,Blue,36,3,2,2,34516.0,1023,1.004,1064,13,0.625,0.03,2023-02-05,144,13,1064,2,1,1,211,4,Lost,1,2,Low Value
55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174.0,1951,0.766,1243,29,0.611,0.615,2023-01-08,172,29,1243,1,1,1,111,3,Lost,1,2,Low Value
53,M,1,High School,Married,$80K - $120K,Blue,47,3,2,2,12262.0,1836,1.584,1659,38,1.533,0.15,2023-02-22,127,38,1659,3,1,1,311,5,Lost,1,2,Low Value
47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788.0,1540,0.566,1594,47,0.382,0.407,2023-03-08,113,47,1594,3,1,1,311,5,Lost,1,2,Low Value
55,M,2,College,Single,$120K +,Silver,42,2,3,2,34516.0,1527,0.526,1268,42,0.355,0.044,2023-03-03,118,42,1268,3,1,1,311,5,Lost,1,2,Low Value
47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926.0,0,0.676,1304,24,0.846,0.0,2023-02-14,135,24,1304,2,1,1,211,4,Lost,1,2,Low Value
58,M,4,Graduate,Single,$120K +,Blue,52,6,1,0,32090.0,0,0.567,1368,30,0.364,0.0,2023-01-19,161,30,1368,1,1,1,111,3,Lost,1,2,Low Value
52,M,2,High School,Single,$40K - $60K,Blue,45,3,1,2,13532.0,1300,0.846,1521,29,1.417,0.096,2023-01-12,168,29,1521,1,1,1,111,3,Lost,1,2,Low Value
50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4,2,2,11888.0,2090,0.7,1137,30,0.765,0.176,2023-02-16,133,30,1137,2,1,1,211,4,Lost,1,2,Low Value
42,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,2,2393.0,1985,0.788,978,16,0.778,0.83,2023-01-17,163,16,978,1,1,1,111,3,Lost,1,2,Low Value
43,M,4,Unknown,Married,$40K - $60K,Blue,39,5,1,2,6111.0,2517,0.632,1221,16,2.2,0.412,2023-01-13,167,16,1221,1,1,1,111,3,Lost,1,2,Low Value
57,M,4,Graduate,Married,$80K - $120K,Blue,46,3,2,3,19270.0,1662,1.186,1565,28,1.545,0.086,2023-02-01,148,28,1565,2,1,1,211,4,Lost,1,2,Low Value
52,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1,4,3710.0,2517,1.541,1578,34,0.7,0.678,2023-01-22,158,34,1578,1,1,1,111,3,Lost,1,2,Low Value
47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235.0,797,0.541,1493,32,1.0,0.246,2023-01-06,174,32,1493,1,1,1,111,3,Lost,1,2,Low Value
44,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1,0,11749.0,788,0.688,1178,27,0.929,0.067,2023-01-08,172,27,1178,1,1,1,111,3,Lost,1,2,Low Value
53,M,2,High School,Divorced,$60K - $80K,Blue,36,5,3,2,7753.0,2100,0.839,991,26,0.733,0.271,2023-03-20,101,26,991,4,1,1,411,6,Potential,1,2,Low Value
45,M,4,College,Divorced,$60K - $80K,Blue,40,5,1,0,10408.0,1186,1.689,2560,42,1.211,0.114,2023-01-07,173,42,2560,1,1,2,112,4,Lost,3,2,At Risk
63,F,1,College,Married,Unknown,Blue,36,6,2,3,3967.0,1568,1.236,1657,29,1.231,0.395,2023-02-16,133,29,1657,2,1,1,211,4,Lost,1,2,Low Value
39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2,2,6205.0,2517,0.939,1204,19,0.727,0.406,2023-02-28,121,19,1204,3,1,1,311,5,Lost,1,2,Low Value
51,M,1,Unknown,Single,$120K +,Blue,42,6,2,3,9036.0,2327,0.649,1131,18,0.636,0.258,2023-02-27,122,18,1131,3,1,1,311,5,Lost,1,2,Low Value
54,M,4,Graduate,Married,$80K - $120K,Blue,34,2,3,2,14926.0,2517,1.996,1576,25,1.5,0.169,2023-03-04,117,25,1576,3,1,1,311,5,Lost,1,2,Low Value
59,F,1,Graduate,Single,Less than $40K,Blue,36,3,2,3,6335.0,1128,0.397,1217,20,0.667,0.178,2023-02-25,124,20,1217,3,1,1,311,5,Lost,1,2,Low Value
41,F,2,Graduate,Single,Less than $40K,Blue,32,6,3,2,2250.0,2117,1.162,1617,31,2.875,0.941,2023-03-28,93,31,1617,4,1,1,411,6,Potential,1,2,Low Value
55,M,2,Graduate,Married,$120K +,Blue,50,3,2,0,10916.0,1536,1.317,1592,34,1.0,0.141,2023-02-04,145,34,1592,2,1,1,211,4,Lost,1,2,Low Value
47,F,4,Graduate,Married,Unknown,Blue,36,4,1,3,5349.0,1228,0.728,1343,30,1.308,0.23,2023-01-11,169,30,1343,1,1,1,111,3,Lost,1,2,Low Value
41,M,2,High School,Married,$80K - $120K,Blue,24,4,1,3,9366.0,1104,0.572,1303,39,0.625,0.118,2023-01-03,177,39,1303,1,1,1,111,3,Lost,1,2,Low Value
40,M,3,High School,Single,$80K - $120K,Blue,28,5,1,0,21617.0,0,1.047,1351,22,0.467,0.0,2023-01-25,155,22,1351,1,1,1,111,3,Lost,1,2,Low Value
68,M,1,Graduate,Married,Unknown,Blue,56,5,2,3,13860.0,1652,1.255,1910,32,1.909,0.119,2023-02-11,138,32,1910,2,1,1,211,4,Lost,1,2,Low Value
50,F,1,Graduate,Single,$40K - $60K,Silver,31,2,2,3,18386.0,0,0.868,1298,22,0.571,0.0,2023-02-07,142,22,1298,2,1,1,211,4,Lost,1,2,Low Value
